4.5400e-01 4.5400e-01 4.5400e-01 4.5400e-01 4.5400e-01 4.5400e-01 4.5400e-01 4.5400e-01 4.5400e-01
4.3400e-01 4.3400e-01 4.3400e-01 4.3400e-01 4.3400e-01 4.3400e-01 4.3400e-01 4.3400e-01 4.3400e-01
4.1400e-01 4.1400e-01 4.1400e-01 4.1400e-01 4.1400e-01 4.1400e-01 4.1400e-01 4.1400e-01 4.1400e-01
3.9400e-01 3.9400e-01 3.9400e-01 3.9400e-01 3.9400e-01 3.9400e-01 3.9400e-01 3.9400e-01 3.9400e-01
3.7400e-01 3.7400e-01 3.7400e-01 3.7400e-01 3.7400e-01 3.7400e-01 3.7400e-01 3.7400e-01 3.7400e-01
3.5400e-01 3.5400e-01 3.5400e-01 3.5400e-01 3.5400e-01 3.5400e-01 3.5400e-01 3.5400e-01 3.5400e-01
3.3400e-01 3.3400e-01 3.3400e-01 3.3400e-01 3.3400e-01 3.3400e-01 3.3400e-01 3.3400e-01 3.3400e-01
3.1400e-01 3.1400e-01 3.1400e-01 3.1400e-01 3.1400e-01 3.1400e-01 3.1400e-01 3.1400e-01 3.1400e-01
2.9400e-01 2.9400e-01 2.9400e-01 2.9400e-01 2.9400e-01 2.9400e-01 2.9400e-01 2.9400e-01 2.9400e-01
2.7400e-01 2.7400e-01 2.7400e-01 2.7400e-01 2.7400e-01 2.7400e-01 2.7400e-01 2.7400e-01 2.7400e-01
2.5400e-01 2.5400e-01 2.5400e-01 2.5400e-01 2.5400e-01 2.5400e-01 2.5400e-01 2.5400e-01 2.5400e-01
2.3400e-01 2.3400e-01 2.3400e-01 2.3400e-01 2.3400e-01 2.3400e-01 2.3400e-01 2.3400e-01 2.3400e-01
2.1400e-01 2.1400e-01 2.1400e-01 2.1400e-01 2.1400e-01 2.1400e-01 2.1400e-01 2.1400e-01 2.1400e-01
1.9400e-01 1.9400e-01 1.9400e-01 1.9400e-01 1.9400e-01 1.9400e-01 1.9400e-01 1.9400e-01 1.9400e-01
