1,5600000000000001 1,5600000000000001 1,5600000000000001 1,5600000000000001 1,5600000000000001 1,5600000000000001 1,5600000000000001 1,5600000000000001 1,5600000000000001
1,0501101306477127 0,4705945219968527 1,3427673717210273 1,0493932758897462 1,1177462899081492 1,1660218210716164 0,96942278458990616 0,99588091192437844 1,1096271706934611
1,0501101306477127 0,4705945219968527 1,3427673717210273 1,0493932758897462 1,1177462899081492 1,1660218210716164 0,96942278458990616 0,99588091192437844 1,1096271706934611
0,84008810451837501 0,37647561759748216 1,0742138973767714 0,83951462071197458 0,89419703192661526 0,93281745685732742 0,7755382276718763 0,79670472953951166 0,88770173655492901
0,84008810451837501 0,37647561759748216 1,0742138973767714 0,83951462071197458 0,89419703192661526 0,93281745685732742 0,7755382276718763 0,79670472953951166 0,88770173655492901
0,67207048361474675 0,30118049407798581 0,85937111790145748 0,67161169656962028 0,71535762554117732 0,7462539654858209 0,62043058213755942 0,63736378363161639 0,71016138924407146
0,67207048361474675 0,30118049407798581 0,85937111790145748 0,67161169656962028 0,71535762554117732 0,7462539654858209 0,62043058213755942 0,63736378363161639 0,71016138924407146
0 0 0 0 0 0 0 0 0
