2.8941e-01 2.8917e-01 2.8953e-01 2.8941e-01 2.8940e-01 3.1110e-01 2.6652e-01 2.6682e-01 3.1007e-01
2.9795e-01 2.9766e-01 2.9810e-01 2.9795e-01 2.9794e-01 3.2020e-01 2.7430e-01 2.7604e-01 3.1760e-01
3.0613e-01 3.0579e-01 3.0631e-01 3.0613e-01 3.0612e-01 3.2903e-01 2.8161e-01 2.8502e-01 3.2464e-01
3.1389e-01 3.1348e-01 3.1411e-01 3.1389e-01 3.1389e-01 3.3756e-01 2.8839e-01 2.9372e-01 3.3112e-01
3.2119e-01 3.2069e-01 3.2145e-01 3.2119e-01 3.2118e-01 3.4573e-01 2.9460e-01 3.0209e-01 3.3701e-01
3.2795e-01 3.2734e-01 3.2827e-01 3.2795e-01 3.2794e-01 3.5348e-01 3.0022e-01 3.1007e-01 3.4231e-01
3.3414e-01 3.3340e-01 3.3453e-01 3.3414e-01 3.3413e-01 3.6076e-01 3.0525e-01 3.1760e-01 3.4705e-01
3.3973e-01 3.3883e-01 3.4020e-01 3.3973e-01 3.3972e-01 3.6750e-01 3.0975e-01 3.2464e-01 3.5131e-01
3.4475e-01 3.4362e-01 3.4533e-01 3.4475e-01 3.4474e-01 3.7367e-01 3.1381e-01 3.3112e-01 3.5517e-01
3.4924e-01 3.4780e-01 3.4999e-01 3.4924e-01 3.4922e-01 3.7925e-01 3.1753e-01 3.3701e-01 3.5873e-01
3.5328e-01 3.5138e-01 3.5429e-01 3.5328e-01 3.5327e-01 3.8425e-01 3.2096e-01 3.4231e-01 3.6200e-01
3.5699e-01 3.5438e-01 3.5843e-01 3.5699e-01 3.5697e-01 3.8872e-01 3.2405e-01 3.4705e-01 3.6486e-01
3.6041e-01 3.5678e-01 3.6255e-01 3.6041e-01 3.6038e-01 3.9275e-01 3.2667e-01 3.5131e-01 3.6716e-01
3.6349e-01 3.5854e-01 3.6677e-01 3.6349e-01 3.6347e-01 3.9645e-01 3.2866e-01 3.5517e-01 3.6879e-01
